QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-11,1668200400,43.04, 0.540720, 0.005930, 0.368230, -0.306900, 0.143010,0.71567, 22.000000, 24.550000, 42 x 54,23.95,27.75,270.0,25.05,26.1, 81 x 15, 23.920000, -0.460980, 0.006370, 0.367820, -0.278570, -0.164410,0.67446, 50.000000,1.7,0.006,25.85,25.575000000000003,0.11791780821917808,1.0506380183134851,0.04121000000000008,1.0064487270287397,K>S,1.1059150518134853,S1_bull
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-11,1668200400,43.04, 0.441360, 0.006440, 0.366440, -0.279640, 0.120440,0.65521, , 0.000000, 176 x 29,15.9,19.4,285.0,31.55,36.6, 214 x 161, 0.000000, -0.555280, 0.006440, 0.366170, -0.269540, -0.194300,0.66217, ,16.7,0.062,17.65,34.075,0.11791780821917808,-0.7199460733311795,-0.006960000000000077,1.0623625451970031,K>S,0.7292818693311797,S1_bear
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-04,1667592000,36.0, 0.298100, 0.006500, 0.294970, -0.258820, 0.070830,0.62865, 65.000000, 8.860000, 104 x 60,8.85,9.4,305.0,43.9,47.15, 76 x 80, 30.620000, -0.696490, 0.006350, 0.295840, -0.246440, -0.187930,0.64432, 0.000000,36.7,0.137,9.125,45.525,0.09863013698630137,-0.6064525549149025,-0.015669999999999962,1.1369143027546875,K>S,0.6274715094149024,S1_bear
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-11,1668200400,43.04, 0.659310, 0.005420, 0.339090, -0.288110, 0.168610,0.72709, , 0.000000, 186 x 21,33.65,38.95,250.0,17.0,18.55, 35 x 103, 17.220000, -0.340010, 0.005370, 0.340040, -0.281130, -0.124390,0.73213, 5.000000,18.3,0.068,36.3,17.775,0.11791780821917808,-0.6052498594935756,-0.005039999999999933,0.9318969694710554,K<S,0.6120102634935755,S1_bear
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-04,1667592000,36.0, 0.207850, 0.005570, 0.244330, -0.204690, 0.050650,0.60318, 38.000000, 5.900000, 687 x 123,5.05,6.0,320.0,54.8,58.8, 61 x 102, 42.950000, -0.784770, 0.005390, 0.245670, -0.192280, -0.190020,0.61754, 0.000000,51.7,0.193,5.525,56.8,0.09863013698630137,-0.5405140556226442,-0.014359999999999928,1.1928281209229508,K>S,0.5597758416226442,S1_bear
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-11,1668200400,43.04, 0.629470, 0.005480, 0.349640, -0.300910, 0.161720,0.73824, , 0.000000, 66 x 26,32.2,35.7,255.0,18.4,20.4, 136 x 52, 19.800000, -0.368050, 0.005670, 0.349900, -0.281700, -0.133990,0.71491, 2.000000,13.3,0.049,33.95,19.4,0.11791780821917808,0.3962221099581811,0.023329999999999962,0.9505349088604764,K<S,0.427515805458181,S1_bull
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-04,1667592000,36.0, 0.571410, 0.006440, 0.333500, -0.334980, 0.128280,0.71177, 11.000000, 26.000000, 37 x 22,25.0,26.95,265.0,21.2,21.85, 45 x 28, 21.720000, -0.429870, 0.006650, 0.333870, -0.309570, -0.128730,0.69721, 64.000000,3.3,0.012,25.975,21.525,0.09863013698630137,0.4010447803057815,0.014560000000000017,0.9878107876393186,K<S,0.4205748363057815,S1_bull
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-04,1667592000,36.0, 0.603530, 0.006310, 0.327600, -0.333290, 0.134410,0.71908, 3.000000, 28.000000, 38 x 47,27.95,29.45,260.0,19.0,19.65, 59 x 74, 19.200000, -0.395900, 0.006420, 0.328220, -0.308270, -0.118560,0.70692, 187.000000,8.3,0.031,28.7,19.325,0.09863013698630137,0.34573194720832134,0.01216000000000006,0.9691728482498976,K<S,0.3620427632083214,S1_bull
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-04,1667592000,36.0, 0.397670, 0.006960, 0.327890, -0.299890, 0.093440,0.65312, 18.000000, 13.650000, 27 x 87,13.65,14.35,290.0,33.6,36.7, 91 x 148, 35.950000, -0.601690, 0.006890, 0.327410, -0.282700, -0.171110,0.65828, 54.000000,21.7,0.081,14.0,35.150000000000006,0.09863013698630137,-0.2973910542071678,-0.005159999999999942,1.0810004845864243,K>S,0.30431242020716776,S1_bear
1664481600, 2022-09-29 16:00,2022-09-29,16.0,268.27, 2022-11-04,1667592000,36.0, 0.636410, 0.006230, 0.318650, -0.320170, 0.140630,0.70828, 0.000000, 41.230000, 97 x 42,29.5,32.5,255.0,16.9,17.65, 406 x 26, 17.900000, -0.363840, 0.006210, 0.319790, -0.305120, -0.110010,0.71543, 40.000000,13.3,0.049,31.0,17.275,0.09863013698630137,-0.2845808858890777,-0.00714999999999999,0.9505349088604764,K<S,0.29417153838907767,S1_bear
